Nom commerce,Catégorie,Adresse,Ville,Code postal,Score GBP estimé,Site actuel,Décideur,Email,Téléphone,Statut,Date premier contact,Date relance prévue,Notes,Faille principale,Offre proposée,Montant devis,Date signature
Exemple Boucherie El-Andalous,Boucherie halal,12 av. de la Marne,Châtillon,92320,45,Aucun,M. Bouzid (gérant),contact@example.com,01 47 00 00 00,Identifié,,,Très actif vers 10h,Pas de photos / description vide,,,
Exemple Restaurant Le Cèdre,Restaurant libanais,8 rue du Maréchal,Châtillon,92320,55,Médiocre,Mme Haddad,,,Identifié,,,Site WP non maintenu depuis 2 ans,Pas de réponse aux avis,,,
,,,,,,,,,,Identifié,,,,,,,
,,,,,,,,,,Identifié,,,,,,,
,,,,,,,,,,Identifié,,,,,,,
,,,,,,,,,,Identifié,,,,,,,
,,,,,,,,,,Identifié,,,,,,,
,,,,,,,,,,Identifié,,,,,,,
,,,,,,,,,,Identifié,,,,,,,
,,,,,,,,,,Identifié,,,,,,,
